,labels,中位数绝对偏差,信息熵,四分位距,差值,最大值,最小值,标准差,活动时长
NTX_3_NRX_3_Subcarrier_30,dunqi,1.7929376371281824,5.527744072050837,3.7946051092465116,19.150294458402144,8.51892810578909,-10.631366352613053,2.716510160433077,5924
NTX_3_NRX_3_Subcarrier_30,dunqi,1.8705169504009356,6.11747597293989,3.756504440014891,23.787748671492984,10.902958161274134,-12.884790510218851,2.9088925859907624,5930
NTX_3_NRX_3_Subcarrier_30,dunqi,1.4889552893615288,5.322401591640841,3.0124184940893746,20.113759135172522,8.62903576856276,-11.48472336660976,2.509552781491187,5930
NTX_3_NRX_3_Subcarrier_30,dunqi,0.9375195175621833,5.26968978319014,2.044820357425846,21.05236747261115,8.797882623218538,-12.254484849392611,2.397666499937357,5935
NTX_3_NRX_3_Subcarrier_30,dunqi,2.0438286154081293,6.720741494043871,4.200528762049644,19.32663214767704,7.846082906794808,-11.48054924088223,2.896423298086799,5935
NTX_3_NRX_3_Subcarrier_30,shoushi,0.6501993026783843,-0.0,1.3089755906102454,13.172749480960608,-1.8052152684465461,-14.977964749407153,1.2557356460766946,5929
NTX_3_NRX_3_Subcarrier_30,shoushi,0.825048497577543,-0.0,1.7176503667876473,7.054034100289911,-0.624105617296197,-7.678139717586108,1.2406034586362855,5915
NTX_3_NRX_3_Subcarrier_30,shoushi,0.5646720070119908,-0.0,1.1787671144615768,10.422555555111655,-1.613898481101566,-12.036454036213222,0.9972760538165539,5932
NTX_3_NRX_3_Subcarrier_30,shoushi,1.0158623779511222,-0.0,2.0638833949558997,11.011470740177666,-1.5804171862005876,-12.591887926378254,1.375847775991841,5928
NTX_3_NRX_3_Subcarrier_30,shoushi,0.6285167550627433,-0.0,1.245342007627471,8.489385480230823,-1.0043814228008687,-9.493766903031691,1.0612966657983383,5927
NTX_3_NRX_3_Subcarrier_30,shoushi,1.4613678837939679,6.594947097566139,2.9615650167391694,14.049151883446445,7.52097544930966,-6.528176434136785,2.1405979962842925,5932
NTX_3_NRX_3_Subcarrier_30,zongshoushi,1.50825333319972,-0.0,3.0205731272756218,14.861036830236712,-2.446504080436044,-17.307540910672756,2.005332671203252,5935
NTX_3_NRX_3_Subcarrier_30,zongshoushi,1.6558087396918921,-0.0,4.534773022517555,14.38565078508408,-1.3093490220439847,-15.694999807128065,2.670979948660924,5931
NTX_3_NRX_3_Subcarrier_30,zongshoushi,3.2231044108174522,6.948482991221136,7.01115807895818,19.807679687388017,6.795472170847841,-13.012207516540178,3.856996415103126,5937
NTX_3_NRX_3_Subcarrier_30,zongshoushi,2.227666759809106,7.994602451668563,4.556777641262543,16.269135245978767,8.811715242114158,-7.457420003864608,3.0362357509258198,5929
NTX_3_NRX_3_Subcarrier_30,zoudong,3.5464498017447696,7.27557092262197,9.050956033450827,36.18031940856031,17.01721290369672,-19.163106504863585,6.710980264171807,5942
NTX_3_NRX_3_Subcarrier_30,zoudong,3.045891631355254,7.5094152911187315,6.602326438454675,36.98907878563557,18.824876121382353,-18.16420266425322,5.631302197974777,5914
NTX_3_NRX_3_Subcarrier_30,zoudong,3.3778440795024447,7.456331296619354,6.90554995264991,37.41241019836275,16.36568052674445,-21.0467296716183,5.478304621268248,5904
NTX_3_NRX_3_Subcarrier_30,zoudong,2.865749799536485,7.269829851030053,6.048093955193856,40.188295242133854,16.867850319310083,-23.32044492282377,5.340666873705105,5926
NTX_3_NRX_3_Subcarrier_30,zoudong,3.2728347106187448,7.2351967169991225,6.8024138531427205,38.28190787726684,19.50075664555117,-18.78115123171567,5.953365062853206,5909
NTX_3_NRX_3_Subcarrier_30,zoudong,2.2238764435803353,7.083462337186798,5.584852826755242,38.23586502936614,17.6080248775263,-20.62784015183984,5.379523808896976,5926
NTX_3_NRX_3_Subcarrier_30,zoudong,2.2185008025012616,7.067256860465324,4.43283549054725,35.45003953649446,16.798635636736627,-18.65140389975783,5.049935354823077,5921
NTX_3_NRX_3_Subcarrier_30,zoudong,3.38027085058949,7.299694880298144,7.093876517391944,45.383856638419246,25.27409657218149,-20.109760066237758,6.357015469561448,5909
NTX_3_NRX_3_Subcarrier_30,zoudong,2.779775150660807,7.289175400815263,7.474961431627556,39.97894746645682,18.110603949948388,-21.868343516508435,6.099941475108336,5931
NTX_3_NRX_3_Subcarrier_30,zoudong,3.587559703373219,7.189843362534949,7.392942950498576,43.40732367165454,23.596784141818482,-19.81053952983606,6.755654890018179,5927
NTX_3_NRX_3_Subcarrier_30,zoudong,2.8474959428808555,7.1437607397651695,5.704573674534038,31.408420477181764,13.578769240868155,-17.82965123631361,4.902741561938655,5928
NTX_3_NRX_3_Subcarrier_30,zoudong,3.1235242669320007,6.961294360444799,6.285365898251513,32.94435408578842,15.227245946554664,-17.717108139233755,5.460358004275142,5926
NTX_3_NRX_3_Subcarrier_30,dunqi,0.45416998853257773,0.961727070004569,0.9209551516185168,5.311271726659098,0.35336615212399924,-4.957905574535099,0.7615070727479298,5932
NTX_3_NRX_3_Subcarrier_30,dunqi,0.41753863445695694,4.379918758953229,0.8341830680996465,5.52571771728227,1.6246819996664976,-3.9010357176157724,0.6886580236801998,5933
NTX_3_NRX_3_Subcarrier_30,dunqi,0.6337017943767087,-0.0,1.2692234830316655,5.1677369500358665,-0.11408253430797663,-5.281819484343843,0.8410280854255364,5930
NTX_3_NRX_3_Subcarrier_30,dunqi,0.6803477637548601,0.4375642518243541,1.3621687502880115,4.098560820431486,0.03664801762458132,-4.061912802806905,0.829567999668439,5921
