,标准差,活动时长,中位数绝对偏差,四分位距,信息熵,最大值,最小值,差值,labels
NTX_1_NRX_1_Subcarrier_1,3.328785770593535,5924.0,1.817248673710584,4.296259172266211,-inf,15.80455250793846,-7.069679362960554,22.874231870899013,
NTX_1_NRX_1_Subcarrier_2,2.5282742662449684,5924.0,1.153152208802846,2.7207247899144598,-inf,13.945876942599408,-7.885128523217286,21.831005465816695,
NTX_1_NRX_1_Subcarrier_3,2.554108574664915,5924.0,0.9541410267262531,1.9436090389583387,-inf,7.245482694503179,-15.32029697806232,22.565779672565498,
NTX_1_NRX_1_Subcarrier_4,4.872580577342521,5924.0,1.7950215714465694,5.376951785362946,-inf,8.577303942096973,-19.013332036105002,27.590635978201973,
NTX_1_NRX_1_Subcarrier_5,7.6637103027576,5924.0,2.6045479809533454,8.60751916946965,-inf,12.042693707291855,-20.70406399067339,32.74675769796524,
NTX_1_NRX_1_Subcarrier_6,8.35774718051014,5924.0,3.033543127631061,9.638902443980491,-inf,13.683390548423633,-22.46704949998749,36.15044004841112,
NTX_1_NRX_1_Subcarrier_7,7.621176124968218,5924.0,3.1291891069422633,7.989449436571585,-inf,19.62769547841857,-20.879129927676235,40.506825406094805,
NTX_1_NRX_1_Subcarrier_8,6.153618334551436,5924.0,2.476150184162396,6.803268006381943,-inf,18.180222295521034,-18.202241883075207,36.38246417859624,
NTX_1_NRX_1_Subcarrier_9,3.757675540601577,5924.0,0.9606377413999381,2.596631045873714,-inf,14.785370909559692,-14.781845006604886,29.567215916164578,
NTX_1_NRX_1_Subcarrier_10,3.560314336449578,5924.0,1.1480930316605553,2.976759715661249,-inf,10.628841974524033,-15.957632942826605,26.586474917350635,
NTX_1_NRX_1_Subcarrier_11,4.273239182732514,5924.0,1.8260438014234568,5.073794374116126,-inf,14.974380241282413,-18.64280221573092,33.617182457013335,
NTX_1_NRX_1_Subcarrier_12,5.089603015392302,5924.0,2.1723115383595877,6.4607811001578845,-inf,20.399571571185163,-18.350602740922078,38.75017431210724,
NTX_1_NRX_1_Subcarrier_13,6.050336798151945,5924.0,2.481595255427397,7.157459920557525,-inf,26.42991659813608,-9.604351684458878,36.03426828259496,
NTX_1_NRX_1_Subcarrier_14,6.484024061064402,5924.0,2.6571964703326207,7.705807169809267,-inf,30.096337303290845,-9.70583156016599,39.802168863456835,
NTX_1_NRX_1_Subcarrier_15,5.942253216649803,5924.0,1.9876853444692753,6.986424013297761,-inf,27.69858489989481,-10.564938221719956,38.26352312161477,
NTX_1_NRX_1_Subcarrier_16,4.141219419553468,5924.0,1.4928450387440373,4.765888317583027,-inf,18.56625651206222,-10.086540866701691,28.652797378763914,
NTX_1_NRX_1_Subcarrier_17,3.223896128730997,5924.0,1.4958355664845007,3.1836012178864523,-inf,11.032623646970787,-9.844649133605868,20.877272780576654,
NTX_1_NRX_1_Subcarrier_18,3.164853191965656,5924.0,1.6822088091925482,3.7589832409513955,-inf,6.686363381927748,-16.27573270605586,22.962096087983607,
NTX_1_NRX_1_Subcarrier_19,3.6234837525938985,5924.0,2.462488390734399,5.760229297951195,-inf,3.728641980994527,-22.973342731652394,26.701984712646922,
NTX_1_NRX_1_Subcarrier_20,4.333595794889017,5924.0,3.697971048218922,6.602133154537127,-inf,6.209467772002627,-17.272394071970673,23.4818618439733,
NTX_1_NRX_1_Subcarrier_21,5.552769634709007,5924.0,2.3771195991387835,7.6271613245233105,-inf,10.962382267143198,-16.51588739326361,27.47826966040681,
NTX_1_NRX_1_Subcarrier_22,6.61491896040663,5924.0,3.4757839887802877,7.424584860156449,-inf,23.536518515169618,-17.283066044207743,40.81958455937736,
NTX_1_NRX_1_Subcarrier_23,7.083271643225612,5924.0,4.168649164671438,7.135871587706492,-inf,28.084811860093165,-17.076398390421637,45.1612102505148,
NTX_1_NRX_1_Subcarrier_24,6.8350502095329775,5924.0,4.522520460619392,8.292634880616223,-inf,23.42589722645989,-16.29581133486709,39.72170856132698,
NTX_1_NRX_1_Subcarrier_25,5.097816731288247,5924.0,3.227557901846695,8.068660731663712,-inf,13.947590411127656,-16.034105602604274,29.98169601373193,
NTX_1_NRX_1_Subcarrier_26,4.59729691464732,5924.0,2.8226451961636494,6.180622413249027,-inf,5.892171942947525,-20.350084031885746,26.24225597483327,
NTX_1_NRX_1_Subcarrier_27,5.6305629420121175,5924.0,2.1299374355273777,7.019075032273378,-inf,14.770173048783272,-24.613942233849546,39.38411528263282,
NTX_1_NRX_1_Subcarrier_28,5.360236899121556,5924.0,2.6910746522623636,7.012470738465303,-inf,20.477610354733862,-11.592446854878473,32.07005720961234,
NTX_1_NRX_1_Subcarrier_29,5.115493293813029,5924.0,3.36945292417633,6.371139612635401,-inf,23.99729486918629,-6.947398628296016,30.944693497482305,
NTX_1_NRX_1_Subcarrier_30,4.636188401786631,5924.0,2.9604664268731273,6.338000194976315,-inf,24.451697741328044,-5.282493007875434,29.734190749203478,
NTX_1_NRX_2_Subcarrier_1,2.343448025035526,5924.0,1.4938780178723032,3.1036783938448336,-inf,7.351148840564456,-8.887029132146976,16.238177972711433,
NTX_1_NRX_2_Subcarrier_2,2.5577481954164805,5924.0,1.1700246814641087,2.396195100702867,-inf,12.85761848277153,-9.765457438245384,22.623075921016913,
NTX_1_NRX_2_Subcarrier_3,2.3329682695980227,5924.0,1.0721631137055954,2.1254714377780903,-inf,10.243666242858815,-9.914615902208336,20.15828214506715,
NTX_1_NRX_2_Subcarrier_4,2.0644627628654986,5924.0,1.0474192456614717,2.177374226777794,-inf,3.822879698895327,-12.964171058013806,16.78705075690913,
NTX_1_NRX_2_Subcarrier_5,2.2067094222081316,5924.0,1.3847811210736607,2.7891542963406977,8.672078747554917,-3.1851517938386626,-20.151668965147948,16.966517171309285,
NTX_1_NRX_2_Subcarrier_6,2.828187464970814,5924.0,1.0595916894243995,2.2106734513426325,8.67650003838639,-4.532662363034648,-31.950710327246586,27.418047964211937,
NTX_1_NRX_2_Subcarrier_7,3.0130804941112435,5924.0,1.680464977998886,3.226385295470326,8.655784988106348,-1.4216103322157667,-29.188864788160885,27.767254455945118,
NTX_1_NRX_2_Subcarrier_8,2.731594865748397,5924.0,1.3870076718389424,2.728441696681327,-inf,9.96500538890095,-12.558209481438098,22.523214870339046,
NTX_1_NRX_2_Subcarrier_9,2.5554692395922105,5924.0,0.9097451746917207,1.8201086096242314,8.67065657141805,22.605394727587246,2.0067356653646486,20.5986590622226,
NTX_1_NRX_2_Subcarrier_10,2.7986655770487516,5924.0,1.6155405043509727,3.2880276322066493,8.679559419257535,33.038590872481784,4.715122288971685,28.3234685835101,
NTX_1_NRX_2_Subcarrier_11,3.465355131923156,5924.0,1.7299828545309168,4.315424034402199,8.676135957296756,36.08525956035824,4.816032851066876,31.269226709291363,
NTX_1_NRX_2_Subcarrier_12,3.7296797886676365,5924.0,1.9468716290970915,4.676278489651823,8.653573924852438,28.42089266781727,0.20244937011887912,28.218443297698393,
NTX_1_NRX_2_Subcarrier_13,3.4357551511662314,5924.0,1.899491189462121,4.523439156366534,-inf,13.87582905881357,-12.714489044094305,26.590318102907876,
NTX_1_NRX_2_Subcarrier_14,2.9389826753365056,5924.0,1.7216944272271357,3.8932974700298946,-inf,0.04928086198287113,-21.80396979361415,21.853250655597023,
NTX_1_NRX_2_Subcarrier_15,2.546777706849462,5924.0,1.5283174588238335,2.9928192538115503,8.671938791906591,-3.1965344389451413,-24.684915809445783,21.48838137050064,
NTX_1_NRX_2_Subcarrier_16,2.594686172648753,5924.0,1.7193875881147314,3.4376966748315283,8.670510269286947,-2.241933738542734,-22.856146169629575,20.61421243108684,
NTX_1_NRX_2_Subcarrier_17,3.4342746572566005,5924.0,2.362754537423844,5.015713750543748,-inf,13.352940690956185,-17.366218824257093,30.719159515213278,
NTX_1_NRX_2_Subcarrier_18,3.404868138066488,5924.0,2.3812075561729147,5.288488118466045,-inf,16.535230751187754,-12.62917434332717,29.164405094514926,
NTX_1_NRX_2_Subcarrier_19,3.1644719251699347,5924.0,2.1344703863846166,5.048674576816793,-inf,13.849755080709617,-10.744008247238142,24.59376332794776,
NTX_1_NRX_2_Subcarrier_20,2.6845394408279373,5924.0,1.572577540330632,4.038869421901371,-inf,7.788556380450422,-11.51914448706872,19.30770086751914,
NTX_1_NRX_2_Subcarrier_21,2.1022295832089632,5924.0,1.1911138831958104,2.4663930116022446,-inf,4.233556457778839,-13.327480735770747,17.561037193549588,
NTX_1_NRX_2_Subcarrier_22,2.7636295176638566,5924.0,1.9297732273673116,3.764325507369529,8.658089198689881,-2.047495375483057,-28.12899739270187,26.081502017218813,
NTX_1_NRX_2_Subcarrier_23,3.167857259774724,5924.0,1.7498416816802926,3.4689359601787864,-inf,0.2286376253316697,-30.06161444719072,30.29025207252239,
NTX_1_NRX_2_Subcarrier_24,2.7170155960050124,5924.0,0.9255390282376037,1.8484776495740376,-inf,7.813773465938651,-16.66444612500967,24.47821959094832,
NTX_1_NRX_2_Subcarrier_25,2.4988167103736436,5924.0,1.1507968425303448,2.3020669543622514,-inf,19.896338887480074,-1.0351734872379452,20.931512374718018,
NTX_1_NRX_2_Subcarrier_26,2.977349865812565,5924.0,1.4269527298799538,3.077642176565199,8.676836951802812,31.733313858860733,4.730249748899711,27.003064109961024,
NTX_1_NRX_2_Subcarrier_27,3.703927824382831,5924.0,1.6386580287397834,4.12607543374715,8.674745441888891,36.198364686873326,5.585347992883949,30.613016693989376,
NTX_1_NRX_2_Subcarrier_28,3.6075228607834644,5924.0,1.9091000359609112,3.9676277203159245,8.660372535566367,27.6715486045077,3.763462409342711,23.908086195164987,
NTX_1_NRX_2_Subcarrier_29,3.327238480877357,5924.0,1.9024303533764222,3.699570635991885,-inf,16.41316990380919,-6.10703155626242,22.52020146007161,
NTX_1_NRX_2_Subcarrier_30,2.862202069675255,5924.0,1.7779987111038198,3.62029417469265,-inf,8.10605156641489,-11.596792822993045,19.702844389407936,
NTX_1_NRX_3_Subcarrier_1,2.402165873244518,5924.0,1.0888473919904162,2.216734760690061,-inf,9.23986182863847,-11.322227475758933,20.562089304397404,
NTX_1_NRX_3_Subcarrier_2,2.568781433930266,5924.0,1.2371793150169577,2.4726363832473273,-inf,9.428935959364853,-15.395289020683954,24.824224980048808,
NTX_1_NRX_3_Subcarrier_3,2.999975661436656,5924.0,1.146215128971372,2.655382839841957,-inf,1.349374936350915,-23.313493641096933,24.66286857744785,
NTX_1_NRX_3_Subcarrier_4,2.3716045451123073,5924.0,1.3172745760889542,2.581534439170259,-inf,2.8379443878437627,-18.19667474330878,21.034619131152542,
NTX_1_NRX_3_Subcarrier_5,2.210875936324675,5924.0,1.135118091944232,2.2518633860722694,-inf,14.975250683492693,-10.224618905711331,25.199869589204024,
NTX_1_NRX_3_Subcarrier_6,2.373408747888487,5924.0,1.014096399698623,2.037766776964954,8.678643304344257,31.23138011483829,2.1011104098350812,29.13026970500321,
NTX_1_NRX_3_Subcarrier_7,2.4043557871418164,5924.0,1.4119526522094432,2.973608573570992,8.682799604690093,37.947114414803366,5.671824303866319,32.27529011093705,
NTX_1_NRX_3_Subcarrier_8,2.55808150178572,5924.0,1.4397163047836852,3.4287501763753454,8.681886988549596,37.3880093499105,4.756667530547002,32.6313418193635,
NTX_1_NRX_3_Subcarrier_9,2.9160904275824073,5924.0,1.814529599730454,3.5598873080632103,8.671601140716032,26.429432693852185,1.2031935815560049,25.22623911229618,
NTX_1_NRX_3_Subcarrier_10,3.36281709523012,5924.0,1.613661798105535,3.1458741933592664,-inf,16.782197942727823,-11.730569675328764,28.512767618056586,
NTX_1_NRX_3_Subcarrier_11,3.811733062082625,5924.0,2.0582477058497184,4.257031253492554,-inf,7.803680683823441,-18.802748523108896,26.606429206932336,
NTX_1_NRX_3_Subcarrier_12,4.186506294033121,5924.0,2.5399345490140224,5.862254775254913,-inf,1.5413626423239895,-27.349387135834675,28.890749778158664,
NTX_1_NRX_3_Subcarrier_13,3.9461387822742164,5924.0,2.6311837609181543,5.1537933956212605,8.665239481901061,-1.6269774890984778,-34.350632059975965,32.723654570877486,
NTX_1_NRX_3_Subcarrier_14,3.777085163650601,5924.0,1.861104960126271,3.8069470164216845,-inf,0.6439253858533245,-31.603315197866767,32.24724058372009,
NTX_1_NRX_3_Subcarrier_15,3.7643625753762597,5924.0,2.0572172526640724,4.022273781825945,8.666778518768776,-0.5866078258614972,-33.844643788090174,33.258035962228675,
NTX_1_NRX_3_Subcarrier_16,3.6662747379834033,5924.0,2.118725875986705,4.391106609994361,8.656953745157999,-2.0172713093372296,-29.341040233596914,27.323768924259685,
NTX_1_NRX_3_Subcarrier_17,3.4258238735972455,5924.0,1.7142713038629749,3.4484360474969566,-inf,2.8467077262186815,-25.178800014924214,28.025507741142896,
NTX_1_NRX_3_Subcarrier_18,3.14016369707947,5924.0,1.1976236939734068,2.5738538507349134,-inf,8.545720029059881,-19.162160770970303,27.707880800030182,
NTX_1_NRX_3_Subcarrier_19,3.0628868991126827,5924.0,1.523556673430543,3.15528097148299,-inf,14.59125411921524,-10.738566163453301,25.329820282668543,
NTX_1_NRX_3_Subcarrier_20,2.877553484267672,5924.0,1.996551131674384,3.9748867378862185,-inf,11.733633655528436,-7.607963934627124,19.34159759015556,
NTX_1_NRX_3_Subcarrier_21,2.4268996213986562,5924.0,1.1383893227764503,2.422621734161081,-inf,18.287902467755384,-8.044091122353127,26.33199359010851,
NTX_1_NRX_3_Subcarrier_22,2.5709581796211594,5924.0,1.6609338529601763,3.396064537816681,-inf,20.40658105258086,-3.1261332313071417,23.532714283888005,
NTX_1_NRX_3_Subcarrier_23,3.111461309842176,5924.0,1.8075193905906488,4.531590490957402,8.666355839161191,24.439986991970294,2.7909954457156547,21.64899154625464,
NTX_1_NRX_3_Subcarrier_24,3.433001948831818,5924.0,2.12628397947193,4.471464015655378,8.677254650347741,33.10206854917415,3.6153580169591804,29.486710532214968,
