标准差,活动时长,中位数绝对偏差,四分位距,信息熵,最大值,最小值,差值,labels
4.295719023301042,5988,1.9390563300432646,4.812225401646948,8.676514668976928,30.028034289355684,5.004882346571579,25.023151942784104,dunqi
3.2335971052507824,5988,1.9119090445924272,4.409734674385639,8.685835990970197,30.2607727568179,8.412044810318575,21.848727946499324,dunqi
2.7003922077954807,5988,1.641029261258991,3.3131307992299526,8.685646215688909,27.318078043757524,7.912853916865683,19.40522412689184,dunqi
4.8190554712988,5988,3.0673428234770803,6.244043563689203,8.636663152850044,28.062776879799678,3.5384700126518567,24.52430686714782,dunqi
7.301412006045654,5986,4.374079667187827,9.472519059563673,8.442622137246634,32.838780743712135,0.0,32.838780743712135,dunqi
7.517238965382114,5987,2.3608286079087026,8.689153020583031,8.396215361860365,38.540447621333286,0.0,38.540447621333286,dunqi
7.033290003167303,5976,2.797682305603211,7.500102179360849,8.395445672341772,41.55687434414489,0.0,41.55687434414489,dunqi
6.036316871838582,5983,2.3054485572619052,6.548392121627245,8.431014037693055,41.87699861588284,0.0,41.87699861588284,dunqi
4.197981948931616,5987,1.7587705138512022,3.9574243854992757,8.593576838035869,37.28965714669542,0.0,37.28965714669542,dunqi
4.719876453316406,5986,2.9719741012991463,6.242555109733814,8.610966297787641,30.53297159110615,0.0,30.53297159110615,dunqi
6.093944634238264,5988,3.3509946149592853,7.523488704362162,8.629823192824912,37.48705260999549,0.559577225961822,36.92747538403366,dunqi
6.877487310263226,5988,3.479174851733193,7.856856722778495,8.65018376784407,41.95965851502205,0.7913665416345532,41.1682919733875,dunqi
7.186234490430677,5988,3.333708036908238,7.660288235508318,8.661573945868572,51.05764455476878,1.7695119511608182,49.28813260360796,dunqi
6.910603109499211,5988,3.193135565328376,7.164704049027087,8.669418255360974,53.218711922481326,0.791350637705045,52.42736128477628,dunqi
6.596313240206657,5988,3.0871399134481106,6.930878560537224,8.671425482222238,52.61519929731822,0.5595713644453888,52.05562793287283,dunqi
5.817327483492059,5988,2.979128838296168,6.273509709175084,8.672731917912788,44.802349617670444,2.3071561958006344,42.49519342186981,dunqi
5.065645875071837,5988,2.646099811365449,5.0973878406265065,8.669617968690808,35.56144365373056,2.307147845587439,33.25429580814312,dunqi
3.9963048020232272,5988,2.282256734423312,4.584728480249119,8.663125792003378,26.88005562463682,2.017481962257086,24.862573662379734,dunqi
3.7825826338917117,5988,3.156575803700263,6.656279901465061,8.633816904890548,22.967287481022264,1.582458267337435,21.384829213684828,dunqi
5.188454955754861,5988,4.831069485247163,8.84646064609867,8.538639877667752,25.181732003196842,1.25104889781535,23.93068310538149,dunqi
5.2566895717420605,5988,2.205911501796395,6.028207769713999,8.627332649352578,40.74869679391393,5.51102445409552,35.23767233981841,dunqi
5.89461883675951,5988,1.7546581033436564,6.042143316175158,8.631174185111846,48.2880956356403,4.613843429316431,43.67425220632387,dunqi
6.423406615595519,5988,3.078733908792808,6.3923367677878336,8.62278263430434,52.568894541636716,4.369905959248505,48.19898858238821,dunqi
6.588235695322823,5988,4.028009022763374,8.146473446194069,8.584827461982783,49.86816232729194,0.7913225868962959,49.07683974039565,dunqi
5.051128369271991,5987,2.987144851397294,6.980499248005598,8.602325533909708,38.829425460639044,0.0,38.829425460639044,dunqi
5.412397008367335,5985,2.9232913800321922,8.305931842147567,8.619153966366948,32.16355896032011,0.0,32.16355896032011,dunqi
7.542106025716186,5988,3.5099458161987975,10.294367491181092,8.624109743312257,40.53457560051132,0.5595574165650102,39.975018183946304,dunqi
7.415770324413147,5988,4.065815557218713,9.355851008021247,8.653025565511893,45.82122952726572,0.5595667529042584,45.26166277436146,dunqi
7.087266747449634,5988,4.148132443207366,8.961885980336877,8.66560239306952,53.85055466080395,1.7695637137460778,52.08099094705787,dunqi
6.174719858290279,5988,3.929786121886224,8.208280221524557,8.668435548671745,48.06569269728813,2.3741387369421223,45.691553960346006,dunqi
3.256624830456744,5988,1.451673918324559,3.143541330453427,8.685664233458073,37.71995530191716,9.787974509291804,27.931980792625357,dunqi
3.800793662027116,5988,1.5490467465427198,3.31811848689982,8.68985200908758,53.031056747052446,15.516138695922491,37.51491805112995,dunqi
4.01093868500086,5988,2.0391661266257373,4.095306322929517,8.690570887591395,62.428866532961344,18.807766136675408,43.62110039628594,dunqi
3.8440280679329613,5988,2.299356305389532,4.619510306423059,8.688972190547323,55.675370943924094,16.021035901915887,39.654335042008206,dunqi
3.243785368908682,5988,1.961392604232934,4.116324031323771,8.681642106291633,37.57483755881782,8.010361190081614,29.564476368736205,dunqi
2.2205864656322523,5988,1.0949686694059997,2.2196200370709978,8.674046897664855,21.6043730360062,2.016936198017188,19.587436837989014,dunqi
2.6414945239757013,5988,1.188657051861874,2.3662081184745816,8.689809094395653,30.878748412496655,10.316180518431949,20.562567894064706,dunqi
3.2528113784612893,5988,1.387594312074004,2.7897677808816965,8.69341854864737,50.88988858953743,25.44650686405303,25.443381725484397,dunqi
4.1069927172691,5988,2.2936010827404303,4.362928669396084,8.693841840007513,69.20199681160364,35.03860806079237,34.163388750811265,dunqi
4.911168601173891,5988,2.981076512505709,5.703210873669484,8.693359896131152,78.07032034447195,38.7052308365715,39.36508950790045,dunqi
5.494925912226222,5988,3.254385481346741,6.981103786396368,8.692258525242657,79.8717340542512,35.82474088722611,44.04699316702509,dunqi
5.703091554296393,5988,3.0968209277413656,7.5253319652399355,8.690163123480202,72.93398982509963,28.023914474863382,44.91007535023625,dunqi
